Cell	cell_type
N4_bcAQTB	SSC
N4_bcAQTF	Erythrocyte
N4_bcAQTM	IW1
N4_bcAQUV	Erythrocyte
N4_bcAQXH	Tcells
N4_bcAQXM	Neutrophils1
N4_bcARAD	IW1
N4_bcARFS	IW3
N4_bcARHN	Recruited_macrophage
N4_bcARIR	Erythrocyte
N4_bcARJW	Recruited_macrophage
N4_bcARMB	Neutrophils1
N4_bcARMW	Erythrocyte
N4_bcAROJ	FLB1
N4_bcAROW	FLB1
N4_bcARPB	Erythrocyte
N4_bcARQZ	FLB2
N4_bcARRB	Erythrocyte
N4_bcARRD	Erythrocyte
N4_bcARTI	FLB2
N4_bcARUE	Schwann
N4_bcARUS	DC
N4_bcARVR	Erythrocyte
N4_bcARXS	Erythrocyte
N4_bcARYH	Recruited_macrophage
N4_bcASBB	Erythrocyte
N4_bcASDM	IW1
N4_bcASDT	Erythrocyte
N4_bcASFX	Bcell
N4_bcASHW	Neutrophils1
N4_bcASJO	FLB2
N4_bcASKN	Recruited_macrophage
N4_bcASNS	Tcells
N4_bcASRO	Erythrocyte
N4_bcASUM	IW3
N4_bcASUV	FLB1
N4_bcASVL	IW1
N4_bcASXR	Erythrocyte
N4_bcASZB	Erythrocyte
N4_bcATAD	Erythrocyte
N4_bcATBM	Erythrocyte
N4_bcATFC	Recruited_macrophage
N4_bcATHQ	Erythrocyte
N4_bcATHY	Erythrocyte
N4_bcATKW	Erythrocyte
N4_bcATLH	Neutrophils2
N4_bcATPC	Neutrophils1
N4_bcATQJ	IW1
N4_bcATSC	DC
N4_bcATTJ	FLB2
N4_bcATTS	Erythrocyte
N4_bcATUG	Erythrocyte
N4_bcATWG	Erythrocyte
N4_bcATYE	Erythrocyte
N4_bcATZO	Erythrocyte
N4_bcAUDD	Recruited_macrophage
N4_bcAUEA	Erythrocyte
N4_bcAUGY	DC
N4_bcAUJS	SSC
N4_bcAULQ	Erythrocyte
N4_bcAUMY	Neutrophils1
