cell	Cell_type
i3_intact_S1_bcBEJJ	Intermediate_epidermis
i3_intact_S1_bcBEPN	Intermediate_epidermis
i3_intact_S1_bcBFER	Proliferating_Epidermis
i3_intact_S1_bcBFIS	SSCs
i3_intact_S1_bcBFKI	Ionocytes
i3_intact_S1_bcBFKR	Intermediate_epidermis
i3_intact_S1_bcBFXD	Myeloid
i3_intact_S1_bcBFYW	Myeloid
i3_intact_S1_bcBFZF	Proliferating_Epidermis
i3_intact_S1_bcBGET	Proliferating_Epidermis
i3_intact_S1_bcBHDE	Tcells
i3_intact_S1_bcBHJL	Intermediate_epidermis
i3_intact_S1_bcBHOW	Intermediate_epidermis
i3_intact_S1_bcBHWY	Tcells
i3_intact_S1_bcBHYG	Intermediate_epidermis
i3_intact_S1_bcBIGS	Intermediate_epidermis
i3_intact_S1_bcBINK	Intermediate_epidermis
i3_intact_S1_bcBITR	Intermediate_epidermis
i3_intact_S1_bcBJZQ	Erythrocyte
i3_intact_S1_bcBKNX	Intermediate_epidermis
i3_intact_S1_bcBKRL	SSCs
i3_intact_S1_bcBLDG	Intermediate_epidermis
i3_intact_S1_bcBLZQ	Intermediate_epidermis
i3_intact_S1_bcBMEF	Myeloid
i3_intact_S1_bcBMGB	Proliferating_Epidermis
i3_intact_S1_bcBMTA	Intermediate_epidermis
i3_intact_S1_bcBNBM	Intermediate_epidermis
i3_intact_S1_bcBNVZ	Intermediate_epidermis
i3_intact_S1_bcBNXT	SSCs
i3_intact_S1_bcBOJD	Erythrocyte
i3_intact_S1_bcBOLE	Intermediate_epidermis
i3_intact_S1_bcBONQ	Tcells
i3_intact_S1_bcBOVL	Erythrocyte
i3_intact_S1_bcBPNC	SSCs
i3_intact_S1_bcBPUC	Intermediate_epidermis
i3_intact_S1_bcBPWK	Intermediate_epidermis
i3_intact_S1_bcBPYC	Intermediate_epidermis
i3_intact_S1_bcBQWR	Intermediate_epidermis
i3_intact_S1_bcBQXD	Intermediate_epidermis
i3_intact_S1_bcBQYZ	Proliferating_Epidermis
i3_intact_S1_bcBRTM	Intermediate_epidermis
i3_intact_S1_bcBRUS	Intermediate_epidermis
i3_intact_S1_bcBRXJ	Intermediate_epidermis
i3_intact_S1_bcBSBZ	Intermediate_epidermis
i3_intact_S1_bcBSEF	SSCs
i3_intact_S1_bcBSEP	Intermediate_epidermis
i3_intact_S1_bcBSOW	SSCs
i3_intact_S1_bcBSPS	Proliferating_Epidermis
i3_intact_S1_bcBSPU	Erythrocyte
i3_intact_S1_bcBSRD	BasalEpidermis
i3_intact_S1_bcBSZX	Tcells
i3_intact_S1_bcBTMN	Proliferating_Epidermis
i3_intact_S1_bcBTOQ	Ionocytes
i3_intact_S1_bcBUDU	Intermediate_epidermis
i3_intact_S1_bcBUMA	Erythrocyte
i3_intact_S1_bcBUVE	Intermediate_epidermis
i3_intact_S1_bcBUZA	SSCs
i3_intact_S1_bcBVNA	Intermediate_epidermis
i3_intact_S1_bcBVOD	Intermediate_epidermis
i3_intact_S1_bcBWAH	SSCs
