cell	Cell_type
S1_bcAVOS	IW5
S1_bcAVOT	Erythrocyte
S1_bcAVQX	Erythrocyte
S1_bcAVSB	Erythrocyte
S1_bcAVUM	IW4
S1_bcAWIV	IW5
S1_bcAWKW	Erythrocyte
S1_bcAWLV	Erythrocyte
S1_bcAWMD	IW5
S1_bcAWPJ	Erythrocyte
S1_bcAWXE	Tcells
S1_bcAWYP	Erythrocyte
S1_bcAWZR	Erythrocyte
S1_bcAXFZ	Erythrocyte
S1_bcAXGG	Erythrocyte
S1_bcAXGJ	FLB9
S1_bcAXLG	Erythrocyte
S1_bcAXPB	BasalWE2
S1_bcAXPP	IW5
S1_bcAXPY	Erythrocyte
S1_bcAXSJ	FLB7
S1_bcAXSU	Erythrocyte
S1_bcAXUT	IW5
S1_bcAYGH	IW4
S1_bcAYKI	Erythrocyte
S1_bcAYOD	Erythrocyte
S1_bcAZCU	Erythrocyte
S1_bcAZEA	Tcells
S1_bcAZMW	Erythrocyte
S1_bcAZNH	Erythrocyte
S1_bcAZNU	Erythrocyte
S1_bcAZPG	Erythrocyte
S1_bcAZTG	Erythrocyte
S1_bcAZVR	SSC
S1_bcAZXB	Erythrocyte
S1_bcBACT	Erythrocyte
S1_bcBAJG	Erythrocyte
S1_bcBAJP	BasalWE2
S1_bcBAPO	Erythrocyte
S1_bcBARX	FLB9
S1_bcBAVD	Erythrocyte
S1_bcBAVF	Erythrocyte
S1_bcBBEO	Erythrocyte
S1_bcBBEZ	Myogenic_blastema
S1_bcBBFX	Erythrocyte
S1_bcBBGJ	Erythrocyte
S1_bcBBLM	Bcells
S1_bcBBRL	Erythrocyte
S1_bcBBSH	Erythrocyte
S1_bcBCBJ	IW5
S1_bcBCCG	Erythrocyte
S1_bcBCCH	Erythrocyte
S1_bcBCDN	Erythrocyte
S1_bcBCEK	Erythrocyte
S1_bcBCFN	Erythrocyte
S1_bcBCID	IW4
S1_bcBCQL	Erythrocyte
S1_bcBCYF	IW5
S1_bcBDAM	IW4
S1_bcBDMX	Bcells
S1_bcBDNW	IW4
S1_bcBDRZ	IW5
S1_bcBDSV	Erythrocyte
S1_bcBECJ	Erythrocyte
S1_bcBEHW	FLB7
S1_bcBEMB	Endo
S1_bcBEVQ	Erythrocyte
S1_bcBFAE	FLB7
S1_bcBFBD	Erythrocyte
S1_bcBFDW	Erythrocyte
S1_bcBFFH	Erythrocyte
S1_bcBFIZ	Erythrocyte
S1_bcBFKA	Erythrocyte
S1_bcBGAJ	Erythrocyte
S1_bcBGDE	IW4
S1_bcBGIZ	Erythrocyte
S1_bcBGJE	Erythrocyte
S1_bcBGKG	Erythrocyte
S1_bcBGWS	Macrophage
S1_bcBHND	IW5
S1_bcBHNW	Erythrocyte
S1_bcBHPL	Erythrocyte
S1_bcBHQE	IW5
S1_bcBHSM	Erythrocyte
S1_bcBHUF	Erythrocyte
S1_bcBHUY	Erythrocyte
S1_bcBHXV	Erythrocyte
S1_bcBHYX	Erythrocyte
S1_bcBIAL	Tcells
S1_bcBIBC	Erythrocyte
S1_bcBIHF	Erythrocyte
S1_bcBILL	Erythrocyte
S1_bcBIOW	FLB9
S1_bcBISB	Myogenic_blastema
S1_bcBJKP	FLB9
S1_bcBJLQ	Bcells
S1_bcBJMR	Erythrocyte
S1_bcBJUS	Erythrocyte
S1_bcBJXM	Erythrocyte
S1_bcBKFY	Macrophage
S1_bcBKHG	Erythrocyte
S1_bcBKOB	Erythrocyte
S1_bcBKQZ	Tcells
